Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 206 - Location 2,206,2,1,,,7.147412760876345,,,,3.513633813843547,,0.026634703236383
Location 207 - Location 2,207,2,1,,,5.637950675278028,,,,6.685489774929888,,0.078337672280493
Location 211 - Location 2,211,2,1,,,8.002293121824986,,,,4.588806115770758,,0.031526467859367
Location 213 - Location 2,213,2,1,,,14.885486563437121,,,,14.873398413226914,,0.099413393185992
Location 214 - Location 3,214,3,1,,,12.281666946411134,,,,6.290050506591797,,0.047067092752540
Location 219 - Location 4,219,4,1,,,13.491791664612064,,,,7.146679651440707,,0.047797955648291
Location 220 - Location 1,220,1,1,,,14.478587872027905,,,,5.267208645414030,,0.034974034528902
Location 222 - Location 2,222,2,1,,,11.580561867878108,,,,5.456604166978781,,0.043734652541471
Location 224 - Location 3,224,3,1,,,12.364491396916854,,,,7.070849946449838,,0.055984098930266
Location 225 - Location 4,225,4,1,,,14.101758648837521,,,,10.358666893862678,,0.085833450061382
Location 226 - Location 4,226,4,1,,,7.901503324469148,,,,3.243975987538152,,0.024110819728771
Location 227 - Location 4,227,4,1,,,12.583845905742351,,,,10.466927223163820,,0.089380352407857
Location 228 - Location 2,228,2,1,,,11.057526837632736,,,,9.524795022361882,,0.093646977770171
Location 233 - Location 2,233,2,1,,,13.454829464544238,,,,15.244107410562806,,0.173690438465873
Location 233 - Location 1,233,1,2,,,13.902633282166278,,,,6.252565319539028,,0.043691435195800
Location 237 - Location 3,237,3,1,,,10.137462615966797,,,,5.832988739013672,,0.044283325054872
Location 238 - Location 2,238,2,1,,,11.818255615002901,,,,5.493377685499167,,0.041618956697664
Location 239 - Location 2,239,2,1,,,10.234235838309109,,,,8.035350384632460,,0.075241529880827
Location 240 - Location 2,240,2,1,,,8.631505747243351,,,,7.366505782980208,,0.075565106611831
Location 242 - Location 3,242,3,1,,,0.000000000000000,,,,0.000000000000000,,0.000530742056373
Location 243 - Location 2,243,2,1,,,13.136968333982777,,,,12.472654790790145,,0.116809747355802
Location 244 - Location 2,244,2,1,,,14.789375304944310,,,,12.482978820753074,,0.089297854658281
