DAUID,Median_income_2020,Population_2021,Total_households
35061198,114000,430,180
35061201,73500,1046,555
35061202,120000,262,100
35061203,101000,572,205
35061204,46400,1218,355
35061208,142000,559,215
35061209,143000,429,160
35061210,151000,424,165
35061213,139000,546,200
35061214,80000,568,235
35061215,138000,281,110
35061222,63600,770,455
35061225,50000,565,275
35061227,110000,381,150
35061228,119000,452,180
35061229,157000,567,205
35061230,141000,411,155
35061231,85000,1003,415
35061232,86000,517,210
35061233,105000,350,135
35061234,101000,390,150
35061235,60800,488,205
35061236,70000,1141,395
35061237,,239,100
35061238,158000,423,160
35061239,154000,547,195
35061240,131000,847,330
35061241,,236,90
35061242,115000,392,150
35061243,86000,622,255
35061247,84000,974,475
35061248,131000,1009,345
35061249,61600,1120,395
35061250,57600,701,300
35061251,91000,687,280
35061252,54800,1703,1035
35061253,64000,1074,635
35061254,72500,1022,380
35061256,55600,773,495
35061257,70500,1573,955
35061261,85000,958,575
35061263,60000,923,420
35061264,99000,1173,420
35061266,123000,1312,510
35061267,77500,489,210
35061268,107000,1331,510
35061269,106000,1119,465
35061270,90000,1071,425
35061271,96000,1172,520
35061272,135000,1095,410
35061273,122000,1150,455
35061279,60400,1592,895
35061280,53200,972,450
35061281,59200,1215,695
35061282,68500,1852,745
35061284,47200,1223,605
35061285,132000,921,135
35061286,121000,1124,430
35061287,88000,1098,480
35061288,158000,506,185
35061289,62000,578,215
35061290,138000,480,175
35061291,101000,502,210
35061292,111000,634,250
35061293,100000,652,290
35061294,108000,595,245
35061295,101000,410,165
35061296,135000,757,260
35061297,114000,484,170
35061298,96000,810,320
35061299,92000,1389,640
35061300,62000,416,210
35061301,55200,684,295
35061302,,247,100
35061303,87000,808,325
35061304,145000,864,340
35061305,172000,343,105
35061306,198000,298,95
35061307,119000,473,220
35061308,87000,1654,895
35061309,153000,414,140
35061310,134000,703,245
35061311,146000,1217,380
35061312,126000,573,210
35061313,133000,393,145
35061314,136000,618,205
35061315,164000,737,230
35061316,180000,331,115
35061317,160000,458,130
35061318,,188,60
35061319,27200,744,460
35061320,72000,739,265
